Location,Latitude,Longitude,Depth (m),Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (Oa),Moisture content (%),pH,Soil Type,Fine Soil (%) ,Sand (%),USCS Group Symbol
"Cameron Highland, Pahang",4.48623742,101.5183568,0.5,3,11,86,0,0.1,0.74,0.1,1,5.48,176.3,324.77,22.63,4.36,Clayey Sand,45,55,SC
"Cameron Highland, Pahang",4.48623742,101.5183568,1,4,2,76,0,0.6,0.66,0.92,15.33,7.89,198.6,383.57,24.88,0,Clayey Sand,0,0,SC
"Cameron Highland, Pahang",4.48623742,101.5183568,1.5,4,15,81,0,0.7,0.7,0.95,13.57,7.37,29.7,545.16,21.63,0,Clayey Sand,0,0,SC
"Cameron Highland, Pahang",4.48623742,101.5183568,2,4,14,82,0,0.8,0.7,0.96,12,6.38,213.2,738.17,22.45,0,Clayey Sand,0,0,SC
"Cameron Highland, Pahang",4.48623742,101.5183568,2.5,3,11,86,0,0.14,0.73,0.1,7.14,3.81,213.8,946.18,22.34,0,Clayey Sand,0,0,SC
"Cameron Highland, Pahang",4.48623742,101.5183568,3,4,14,82,0,0.7,0.7,0.95,13.57,7.37,213.4,994.62,23.24,0,Clayey Sand,0,0,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,0.5,0,0,0,0,0.16,0.21,0.27,1.69,1.2,35,2493.18,3.36,7.95,Clayey Sand,25,75,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,1,0,0,0,0,0.16,0.2,0.24,1.5,1.4,944,4452.1,6.32,0,Clayey Sand,0,0,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,1.5,0,0,0,0,0.19,0.24,0.3,1.58,1.1,26,4361.24,3.16,0,Clayey Sand,0,0,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,2,0,0,0,0,0.16,0.21,0.27,1.69,1.2,65.8,138.51,12.89,0,Clayey Sand,0,0,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,2.5,0,0,0,0,0.18,0.23,0.29,1.61,1.1,15,4361.24,1.28,0,Clayey Sand,0,0,SC
"Pulau Indah, Selangor",2.949134829,101.3306034,3,0,0,0,0,0.18,0.24,0.33,1.83,0.97,4.58,12.33,61.63,0,Clayey Sand,0,0,SC
"Pekan, Pahang",3.484194493,103.3189118,1,39,39,22,0,0,0,0.36,0,0,8.2,24.24,57.34,3.5,Inorganic Silt,73,27,MH
"Pekan, Pahang",3.484194493,103.3189118,1.5,23,37,4,0,0,0,0.5,0,0,11.8,23.87,127.3,0,Inorganic Silt,0,0,MH
"Pekan, Pahang",3.484194493,103.3189118,2,3,42,28,0,0,0.2,0.35,0,0,15.63,31.9,93.9,0,Inorganic Silt,0,0,MH
"Pekan, Pahang",3.484194493,103.3189118,2.5,3,4,3,0,0,0.2,0.42,0,0,19.44,32.95,62.87,0,Inorganic Silt,0,0,MH
"Pekan, Pahang",3.484194493,103.3189118,3,23,32,45,0,0,0.4,0.75,0,0,23.22,39.59,52.22,0,Inorganic Silt,0,0,MH
"Damansara, Kuala Lumpur",3.14993631,101.657701,1,23,13,64,0,0,0,0.6,0,0,0,14458.79,n,0,Clayey Sand,45,55,SC
"Damansara, Kuala Lumpur",3.14993631,101.657701,2,12,12,76,0,0,0,0.1,0,0,0,7876.51,0,0,Clayey Sand,0,0,SC
"Damansara, Kuala Lumpur",3.14993631,101.657701,3,48,34,18,0,0,0,0,0,0,0,367.76,0,0,Clayey Sand,0,0,SC
"Selayang, Selangor",3.26151937,101.6547084,0.5,24,23.5,52.95,0,0,0.5,0.9,0,0,71.64,112.9,18.3,7.33,Clayey Sand,42,58,SC
"Selayang, Selangor",3.26151937,101.6547084,1,2,17.31,62.69,0,0,0.8,0.2,0,0,63.88,84.51,2.28,0,Clayey Sand,0,0,SC
"Selayang, Selangor",3.26151937,101.6547084,1.5,18.5,22.6,59.44,0,0,0.9,0.27,0,0,63.88,81.8,18.68,0,Clayey Sand,0,0,SC
"Selayang, Selangor",3.26151937,101.6547084,2,18.5,22.6,59.44,0,0,0.7,0.23,0,0,67.17,29.39,2.9,0,Clayey Sand,0,0,SC
"Selayang, Selangor",3.26151937,101.6547084,2.5,23,2.8,56.2,0,0,0.6,0.2,0,0,61.53,81.3,24.11,0,Clayey Sand,0,0,SC
"Selayang, Selangor",3.26151937,101.6547084,3,25,18.8,56.2,0,0,0.4,0.33,0,0,54.46,137.87,22.43,0,Clayey Sand,0,0,SC
"Parit, Perak",4.508980019,100.9035048,0.5,15,27.77,57.23,0,0,0.1,0.6,0,0,438.8,527.19,28.18,4.26,Inorganic silt,67,33,MH
"Parit, Perak",4.508980019,100.9035048,1,14,18.28,67.72,0,0,0.2,0.8,0,0,3.1,61.2,2.58,0,Inorganic silt,0,0,MH
"Parit, Perak",4.508980019,100.9035048,1.5,8.7,13.72,78.21,0,0.1,0.6,0.12,23,6.26,337.7,769.5,24.55,0,Inorganic silt,0,0,MH
"Parit, Perak",4.508980019,100.9035048,2,8.88,11.12,8,0,0.1,0.6,0.11,22,6.55,355,36.16,13.5,0,Inorganic silt,0,0,MH
"Parit, Perak",4.508980019,100.9035048,2.5,1,3,6,0,0,0.4,0.1,49,6.61,358.9,34.39,28.63,0,Inorganic silt,0,0,MH
"Parit, Perak",4.508980019,100.9035048,3,23,24.62,52.38,0,0,0,0.6,0,0,356.7,224.63,29.97,0,Inorganic silt,0,0,MH
"Klang, Selangor",3.0443357,101.4375623,1,3,1,6,0,0,0,0.14,0,0,83.36,248.2,29.31,4.71,Poorly Graded Sand,0,1,SP
"Klang, Selangor",3.0443357,101.4375623,1.5,48,21,31,0,0,0,0.1,0,0,43,51.57,162.28,0,Poorly Graded Sand,0,0,SP
"Klang, Selangor",3.0443357,101.4375623,2,54,23,23,0,0,0,0.1,0,0,2.36,22.36,129.61,0,Poorly Graded Sand,0,0,SP
"Klang, Selangor",3.0443357,101.4375623,2.5,57,28,15,0,0,0,0,0,0,9.42,1.43,139.79,0,Poorly Graded Sand,0,0,SP
"Klang, Selangor",3.0443357,101.4375623,3,5,25,25,0,0,0,0.1,0,0,4.48,7.74,146.1,0,Poorly Graded Sand,0,0,SP
"Sungkai, Perak",3.997949399,101.3058092,0.5,7.23,32.12,6.65,0,0.4,0.25,0.135,33.75,1.16,154,77.13,14.52,4.63,Inorganic silt,67,33,MH
"Sungkai, Perak",3.997949399,101.3058092,1,22,26,52,0,0,0.6,0.58,0,0,167.9,448.49,29.96,0,Inorganic silt,0,0,MH
